2022-10-19 16:58:47.915  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666169927915, extension=png, relativePath=upload/2022/10/image-1666169927915.png, basePath=/root/.halo, fullName=image-1666169927915.png, fullPath=/root/.halo/upload/2022/10/image-1666169927915.png, subPath=upload/2022/10)]
2022-10-19 16:58:47.915  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666169927915.png]
2022-10-19 16:58:47.917  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666169927915-thumbnail, extension=png, relativePath=upload/2022/10/image-1666169927915-thumbnail.png, basePath=/root/.halo, fullName=image-1666169927915-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666169927915-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 16:58:48.017  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666169927915-thumbnail.png]
2022-10-19 16:58:48.018  INFO 7 --- [qtp786722925-1791] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666169927915.png] successfully
2022-10-19 17:08:21.986  INFO 7 --- [qtp786722925-1793] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666170501986, extension=png, relativePath=upload/2022/10/image-1666170501986.png, basePath=/root/.halo, fullName=image-1666170501986.png, fullPath=/root/.halo/upload/2022/10/image-1666170501986.png, subPath=upload/2022/10)]
2022-10-19 17:08:21.987  INFO 7 --- [qtp786722925-1793] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666170501986.png]
2022-10-19 17:08:21.987  INFO 7 --- [qtp786722925-1793] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666170501986-thumbnail, extension=png, relativePath=upload/2022/10/image-1666170501986-thumbnail.png, basePath=/root/.halo, fullName=image-1666170501986-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666170501986-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 17:08:22.042  INFO 7 --- [qtp786722925-1793] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666170501986-thumbnail.png]
2022-10-19 17:08:22.042  INFO 7 --- [qtp786722925-1793] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666170501986.png] successfully
2022-10-19 17:09:12.706  INFO 7 --- [qtp786722925-1908] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666170552706, extension=png, relativePath=upload/2022/10/image-1666170552706.png, basePath=/root/.halo, fullName=image-1666170552706.png, fullPath=/root/.halo/upload/2022/10/image-1666170552706.png, subPath=upload/2022/10)]
2022-10-19 17:09:12.706  INFO 7 --- [qtp786722925-1908] r.h.app.handler.file.LocalFileHandler    : Uploading file: [image.png] to directory: [upload/2022/10/image-1666170552706.png]
2022-10-19 17:09:12.707  INFO 7 --- [qtp786722925-1908] r.h.app.handler.file.FilePathDescriptor  : FilePathDescriptor: [FilePathDescriptor(name=image-1666170552706-thumbnail, extension=png, relativePath=upload/2022/10/image-1666170552706-thumbnail.png, basePath=/root/.halo, fullName=image-1666170552706-thumbnail.png, fullPath=/root/.halo/upload/2022/10/image-1666170552706-thumbnail.png, subPath=upload/2022/10)]
2022-10-19 17:09:12.767  INFO 7 --- [qtp786722925-1908] r.h.app.handler.file.LocalFileHandler    : Generated thumbnail image, and wrote the thumbnail to [/root/.halo/upload/2022/10/image-1666170552706-thumbnail.png]
2022-10-19 17:09:12.767  INFO 7 --- [qtp786722925-1908] r.h.app.handler.file.LocalFileHandler    : Uploaded file: [image.png] to directory: [/root/.halo/upload/2022/10/image-1666170552706.png] successfully
2022-10-19 17:10:37.697  INFO 7 --- [pool-3-thread-9] r.h.a.service.impl.BasePostServiceImpl   : Post with id: [131] is a draft and visits will not be updated
2022-10-19 17:20:44.072  WARN 7 --- [Timer-0] run.halo.app.cache.AbstractCacheStore    : Cache key: [c314dd22a3174b22a38f448399f16704] has been expired
